,K,avg_send_drops,avgs,feedback_packet_avgs
0,50,103.125,99.0,1.07
1,100,177.78,170.67,1.58
2,150,252.69,242.59,1.98
3,200,320.55,307.73,2.34
4,250,385.14,369.7,2.76
5,300,450.81,432.78,3.26
6,350,508.27,487.94,3.54
7,400,573.07,550.15,3.73
8,450,631.83,606.56,4.22
9,500,698.69,670.73,4.54
10,550,765.56,734.94,4.88
11,600,819.92,787.12,5.38
12,650,885.05,849.65,5.45
13,700,939.15,901.58,5.9
14,750,1004.92,964.72,6.29
15,800,1065.09,1022.49,6.36
16,850,1128.72,1083.57,6.62
17,900,1184.11,1136.75,7.08
18,950,1242.47,1192.77,7.26
19,1000,1296.25,1244.4,7.61
