,K,w1_avg_drops,w2_avg_drops,feedback_packet_avgs
0,50,69.76,98.37,1.05
1,100,128.465,174.82,1.595
2,150,180.97,243.98,2.095
3,200,232.82,305.395,2.44
4,250,287.1,368.91,2.75
5,300,337.54,432.74,3.19
6,350,386.28,493.13,3.58
7,400,438.395,553.48,3.87
8,450,485.365,615.295,4.375
9,500,534.04,670.465,4.56
10,550,581.305,726.53,4.915
11,600,632.66,788.72,5.225
12,650,682.335,845.83,5.505
13,700,737.815,909.73,5.75
14,750,782.135,960.985,6.02
15,800,825.5,1017.13,6.455
16,850,876.245,1074.605,6.64
17,900,932.79,1137.21,6.88
18,950,975.93,1190.73,7.18
19,1000,1020.635,1248.945,7.685
