,per,avg_send_drops,avg_recv_drops,feedback_packet_avgs
0,0.01,675.705,669.005,4.575
1,0.02,685.85,671.86,4.605
2,0.03,686.23,666.155,4.615
3,0.04,693.185,665.635,4.64
4,0.05,705.08,669.38,4.725
5,0.06,712.055,669.085,4.815
6,0.07,716.66,666.815,4.775
7,0.08,723.305,665.17,4.855
8,0.09,727.915,661.98,4.895
9,0.1,736.735,662.895,4.95
10,0.125,759.715,664.78,4.875
11,0.15,779.875,663.35,4.98
12,0.175,796.21,657.49,5.21
13,0.2,827.08,661.915,5.17
14,0.225,848.955,659.135,5.325
15,0.25,876.525,656.395,5.545
16,0.275,903.255,654.46,5.655
17,0.3,934.705,653.745,5.735
18,0.325,969.595,655.315,5.7
19,0.35,994.735,647.935,6.085
20,0.375,1036.675,647.255,6.17
21,0.4,1079.77,647.04,6.18
22,0.425,1119.835,643.85,6.66
23,0.45,1173.24,645.05,6.68
24,0.475,1237.06,649.525,6.87
25,0.5,1281.3,640.21,7.085
