,per,avg_send_drops,avg_recv_drops
0,0.0,115.0,115.0
1,0.01,174.571,173.059
2,0.02,194.594,191.238
3,0.03,210.544,205.07
4,0.04,229.139,219.225
5,0.05,237.209,224.848
6,0.06,247.607,232.558
7,0.07,257.177,239.3
8,0.08,268.049,247.08
9,0.09,274.456,250.629
10,0.1,293.56,262.931
11,0.125,314.28,276.053
12,0.15,343.205,292.547
13,0.175,371.834,307.221
14,0.2,398.815,319.165
15,0.225,426.095,329.897
16,0.25,461.726,345.353
17,0.275,491.596,355.043
18,0.3,519.952,366.29
19,0.325,550.64,373.715
20,0.35,583.529,380.693
21,0.375,640.035,400.894
22,0.4,680.08,408.27
23,0.425,726.496,417.269
24,0.45,782.843,429.181
25,0.475,837.685,437.428
26,0.5,899.507,446.174
